file,forwarder_company,shipper_company,consignee_company
236271-607-7859 8855 J&CDEL_304220180125164216-Page(3).jpg,,,
236276-[Untitled]_304220180125183114-Page(3).jpg,,,
236277-15735547783_242520180125171728-Page(2).jpg,,,
236278-15735547783_242520180125171728-Page(3).jpg,,,
236279-WYS1801949_230020180125203611-Page(1).jpg,,,
236280-4328_001_242520180125193141-Page(3).jpg,,,
236281-BOM Crane_249920180125215615-Page(1).jpg,,,
236282-BOM ZF_124820180125215615-Page(1).jpg,,,JCB INDIA LIMITED
236283-BOM UV Technik_130220180125215615-Page(1).jpg,,,
236001-618-51230900_229920180116120211-Page(1).jpg,,,
236010-AFL006178_304220180116151611-Page(3).jpg,,,
236011-KUL-DEL_60420180116141617-Page(3).jpg,,,
236012-16012018-095352-[Untitled]_305720180116141219-Page(4).jpg,,,
236013-AWBLayout (62)_130120180116161204-Page(2).jpg,,,
236014-MX-M502N_20180116_192634_60420180116170619-Page(1).jpg,,,
236015-MX-M502N_20180116_195326_229920180116172307-Page(1).jpg,,,
236022-HAWB_249820180116171212-Page(1).jpg,,,
236027-SCAN_20180116170258_229920180116214108-Page(1).jpg,POWER AIRFREIGHT LTD,,
236030-01162018-141816[Untitled]_60420180116192619-Page(3).jpg,,,
236193-4215_001_334020180122170422-Page(3).jpg,,,
236196-HouseAirwayBill55218-01213_304220180123013616-Page(1).jpg,TRANSGROUP INTERNATIONAL,,
236199-Pre_Alert20180123010824041_304220180122224114-Page(3).jpg,GLOBAL AIRFREIGHT INTERNATIONAL PTE . LTD .,,
236201-Email Copy - 125-47859442_130220180122222612-Page(3).jpg,,,
236202-Sharp MX-4101 Flyg_20180122_111804_249920180122185224-Page(2).jpg,,,
236204-[Untitled]_304220180123111710-Page(3).jpg,,,
236205-HouseAirwayBill55218-01211_334020180123013621-Page(1).jpg,TRANSGROUP INTERNATIONAL,,
236207-AWBLayout_249920180123120130-Page(3).jpg,,KAMAX GMBH & CO.,JCB INDIA LTD .
236223-SHAE18012577_334020180123171124-Page(1).jpg,,,
236224-Fast B&W scan to a PDF file_4_195520180123171136-Page(1).jpg,,,
236226-4271_001_351220180123213712-Page(3).jpg,,,
236228-20180123044556035_130220180124095115-Page(3).jpg,,,
236229-SKMBT_C454e18012410180_124820180124075620-Page(3).jpg,,,
236232-LAX6967_304220180124021109-Page(3).jpg,,,
236233-Pre-Alert20180124022827773_249920180124001119-Page(3).jpg,GLOBAL AIRFREIGHT INTERNATIONAL PTE . LTD .,,
